date,account_no,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,default_col,mgmt_overlay_1,mgmt_overlay_2
2020-11-12,AA12,0.7024,0.1908,0.5362,0.8241,,,0,,
2020-11-12,AA13,0.4451,0.1066,0.6868,0.1708,,,0,,
2020-11-18,AA14,0.3141,0.7135,0.9345,0.1898,,,0,,
2020-11-12,AA15,0.4217,0.7688,0.0744,0.6966,,,0,,
2020-11-12,AA16,0.4204,0.993,0.3559,0.9081,,,0,,
2020-11-13,AA17,0.4458,0.8939,0.0818,0.4005,,,0,,
2020-11-13,AA18,0.4397,0.7472,0.186,0.0185,,,1,,
2020-11-14,AA19,0.5615,0.682,0.6727,0.3774,,,1,,
2020-11-13,AA20,0.9659,0.6415,0.1811,0.7409,,,1,,
2020-11-14,AA21,0.4985,0.1762,0.226,0.5015,,,1,,
2020-11-14,AA22,0.8297,0.9598,0.5294,0.0719,,,0,,
2020-11-13,AA23,0.1629,0.3783,0.8149,0.2046,,,0,,
2020-11-15,AA24,0.6443,0.1572,0.1812,0.4679,,,0,,
2020-11-13,AA25,0.9984,0.8881,0.6865,0.5965,,,0,,
2020-11-15,AA26,0.926,0.2939,0.8926,0.7266,,,0,,
2020-11-16,AA27,0.7085,0.1572,0.1236,0.1963,,,0,,
2020-11-16,AA28,0.3559,0.1766,0.5716,0.0669,,,0,,
2020-11-16,AA29,0.1908,0.0923,0.0193,0.2353,,,0,,
2020-11-17,AA30,0.1104,0.641,0.5874,0.1807,,,0,,
2020-11-17,AA31,0.2597,0.116,0.8378,0.2111,,,0,,
2020-11-18,AA32,0.2345,0.5044,0.349,0.1241,,,0,,
