date,account_no,outstanding_amount,undrawn_upto_1_yr,undrawn_greater_than_1_yr
2020-12-01,AA12,10000,10000,5000
2020-12-01,AA13,10000,10000,5000
2020-12-01,AA14,10000,10000,5000
2020-12-01,AA15,10000,10000,5000
2020-12-01,AA16,10000,10000,5000
2020-12-01,AA17,10000,10000,5000
2020-12-01,AA18,10000,10000,5000
2020-12-01,AA19,10000,10000,5000
2020-12-01,AA20,10000,10000,5000
2020-12-01,AA21,,,
2020-12-01,AA22,,,
2020-12-01,AA23,,,
2020-12-01,AA24,,,
2020-12-01,AA25,,,
2020-12-01,AA26,,,
2020-12-01,AA27,,,
2020-12-01,AA28,,,
2020-12-01,AA29,,,
2020-12-01,AA30,,,
2020-12-01,AA31,,,
2020-12-01,AA32,,,
